cid;id_instalacion;fecha_cierre;fecha_apertura;rut_jefe_cierre
32;9;22-07-2010 6:07;30-07-2010 22:34;70106627-8
33;9;24-08-2014 17:29;05-09-2014 0:20;94384917-k
34;10;11-08-2015 11:40;24-08-2015 18:23;49326776-0
35;10;21-01-2014 19:00;04-02-2014 6:59;11118739-8
36;10;13-11-2019 17:12;18-11-2019 7:10;49326776-0
37;10;31-10-2014 9:13;12-11-2014 14:56;49326776-0
38;10;13-12-2010 14:04;18-12-2010 5:12;28060713-4
39;11;01-03-2018 14:19;05-03-2018 20:28;42723522-k
40;11;15-06-2012 19:13;27-06-2012 5:53;42723522-k
41;11;27-09-2012 12:15;02-10-2012 1:19;97996738-1
42;11;27-06-2015 13:18;05-07-2015 16:05;97996738-1
43;11;11-07-2018 7:23;25-07-2018 13:07;97996738-1
44;11;20-06-2017 2:06;23-06-2017 18:37;97996738-1
45;11;07-07-2012 6:37;19-07-2012 10:45;58557550-k
46;11;26-11-2017 19:11;01-12-2017 10:22;40538537-6
47;11;05-09-2011 16:18;12-09-2011 1:09;59260036-6
48;11;04-05-2020 17:20;12-05-2020 5:17;40538537-6
49;12;21-04-2010 3:02;03-05-2010 16:46;69265725-k
50;12;22-05-2013 18:13;06-06-2013 0:43;35685353-9
51;12;02-08-2020 2:00;07-08-2020 17:42;98544321-1
52;12;12-12-2016 11:14;18-12-2016 22:14;34572846-5
53;13;21-07-2020 17:41;28-07-2020 22:58;79459402-3
54;13;14-05-2011 8:41;23-05-2011 15:43;52176953-k
55;13;20-05-2016 15:35;04-06-2016 6:15;97675067-5
56;13;22-02-2015 22:59;03-03-2015 15:04;79459402-3
57;14;16-07-2011 0:49;24-07-2011 8:23;10544563-6
58;14;05-11-2010 9:08;14-11-2010 22:27;85297873-2
59;14;10-09-2014 14:29;15-09-2014 4:44;46787382-2
60;14;27-09-2016 16:28;03-10-2016 22:55;30741496-1
61;15;17-06-2010 0:03;28-06-2010 3:33;67710168-7
62;15;03-12-2015 3:29;16-12-2015 6:11;31359212-k
63;15;23-06-2016 18:18;04-07-2016 3:36;18665525-7
64;15;11-09-2017 12:10;17-09-2017 18:05;93009498-6
65;15;16-08-2012 20:35;28-08-2012 3:55;20640357-8
66;16;07-07-2016 15:33;18-07-2016 21:55;37925650-3
67;16;20-08-2015 2:45;29-08-2015 10:31;26240285-1
68;16;27-09-2010 21:48;06-10-2010 23:02;86164302-6
69;16;23-11-2015 21:00;29-11-2015 7:15;86164302-6
70;16;28-05-2014 16:12;11-06-2014 20:41;53089483-5
71;17;30-11-2014 17:17;15-12-2014 9:25;80291272-2
72;17;05-09-2012 23:24;18-09-2012 6:51;46288331-5
73;17;01-06-2017 11:47;10-06-2017 20:19;69760987-3
74;18;17-12-2015 0:16;20-12-2015 16:05;82645956-5
75;18;08-09-2011 17:14;22-09-2011 22:16;70638696-3
76;18;29-10-2014 12:20;08-11-2014 1:12;53783913-9
77;18;09-04-2019 18:53;22-04-2019 5:40;12920124-k
78;18;19-06-2018 5:14;25-06-2018 20:50;45981588-0
79;19;09-10-2011 2:29;17-10-2011 3:32;21759577-0
80;19;06-03-2019 23:03;21-03-2019 4:44;89118524-3
81;19;15-06-2012 5:05;18-06-2012 17:45;50942616-3
82;20;12-11-2011 19:17;16-11-2011 2:33;78918085-7
83;20;06-06-2015 23:04;18-06-2015 6:39;96828461-4
84;21;20-05-2016 3:26;30-05-2016 12:41;82376572-k
85;21;28-08-2019 11:12;06-09-2019 3:39;35340502-0
86;21;14-08-2011 15:58;29-08-2011 6:34;82376572-k
87;21;04-04-2018 6:29;15-04-2018 12:16;34846808-1
88;21;14-10-2010 10:10;22-10-2010 16:06;35340502-0
89;21;07-03-2011 6:01;20-03-2011 12:44;74759859-2
90;21;28-07-2010 2:07;03-08-2010 5:40;56093204-9
91;22;10-08-2020 16:43;18-08-2020 2:03;63974341-1
92;22;23-02-2011 3:02;26-02-2011 14:21;63974341-1
93;22;29-12-2011 6:38;05-01-2012 15:44;63974341-1
94;23;01-06-2017 8:29;11-06-2017 21:48;28630079-0
95;23;22-11-2018 9:25;26-11-2018 22:47;57689116-4
96;23;07-05-2013 9:42;16-05-2013 12:00;28630079-0
97;23;13-11-2017 16:53;21-11-2017 19:00;28630079-0
98;24;23-06-2014 5:21;06-07-2014 10:47;44100123-1
99;24;14-06-2016 18:23;27-06-2016 6:09;59129614-0
100;24;15-10-2015 20:09;23-10-2015 4:22;69141385-3
101;24;08-05-2020 4:21;12-05-2020 6:47;52581344-4
102;24;21-07-2010 14:36;25-07-2010 1:42;69141385-3
103;24;18-03-2017 11:41;22-03-2017 20:24;32992512-9
104;24;26-04-2014 4:17;30-04-2014 15:43;32992512-9
105;25;01-10-2019 16:08;14-10-2019 8:44;42226798-0
106;25;25-04-2020 20:39;07-05-2020 22:16;59537115-5
107;25;26-05-2018 9:09;31-05-2018 1:10;56914123-0
108;25;20-01-2020 4:42;26-01-2020 12:09;96951878-3
109;26;11-10-2014 19:47;25-10-2014 11:40;43922451-7
110;26;28-08-2017 16:02;01-09-2017 4:46;95741388-9
111;26;11-02-2010 5:07;25-02-2010 5:13;43922451-7
112;26;29-10-2013 6:43;12-11-2013 21:31;15333675-k
113;26;04-03-2019 8:53;17-03-2019 11:51;43922451-7
114;26;24-01-2014 6:36;29-01-2014 19:22;95741388-9
115;27;04-02-2016 20:35;08-02-2016 2:06;69402733-4
116;27;07-06-2015 1:26;14-06-2015 8:08;44281327-2
117;27;15-05-2015 15:08;18-05-2015 16:30;25002692-7
118;27;13-03-2020 6:40;26-03-2020 21:15;74361473-9
119;27;17-12-2012 9:26;20-12-2012 19:26;25002692-7
120;27;08-10-2018 9:47;16-10-2018 16:03;69402733-4
121;28;26-09-2018 20:50;04-10-2018 0:57;94362008-3
122;28;24-02-2013 0:58;07-03-2013 3:42;83118985-1
123;28;25-08-2013 16:09;06-09-2013 6:10;14114400-6
124;28;06-01-2020 16:47;21-01-2020 8:34;83118985-1
125;28;06-08-2015 7:45;12-08-2015 19:57;14114400-6
126;28;22-04-2017 4:34;05-05-2017 14:46;94362008-3
127;29;24-02-2014 14:16;07-03-2014 5:59;54122700-8
128;29;01-11-2011 18:57;12-11-2011 20:18;28231652-8
129;29;29-03-2013 16:23;06-04-2013 7:27;28231652-8
130;29;22-11-2018 19:54;05-12-2018 2:11;54122700-8
131;29;03-08-2018 14:07;17-08-2018 15:53;49993665-6
132;29;11-10-2013 4:15;21-10-2013 12:41;28231652-8
133;30;25-08-2017 10:06;06-09-2017 0:04;33016426-3
134;30;23-03-2019 17:39;29-03-2019 5:38;33016426-3
135;31;19-03-2011 8:20;03-04-2011 0:13;90471139-k
136;31;20-06-2020 6:16;26-06-2020 22:35;90471139-k
137;31;18-12-2016 7:09;24-12-2016 15:41;90471139-k
138;31;18-04-2020 20:34;01-05-2020 5:11;90471139-k
139;32;10-03-2013 0:56;18-03-2013 9:07;22997103-4
140;32;30-08-2015 12:53;05-09-2015 0:17;88413708-k
141;32;27-09-2015 9:11;01-10-2015 18:26;25450277-4
142;32;08-02-2011 16:17;13-02-2011 19:32;99233768-0
143;32;19-08-2011 3:13;22-08-2011 15:46;25750021-7
144;33;15-09-2010 22:40;21-09-2010 4:18;56292778-6
145;33;05-10-2012 0:28;19-10-2012 0:37;78166652-1
146;33;05-10-2016 10:28;19-10-2016 20:20;91888069-0
147;33;09-12-2019 12:58;20-12-2019 22:22;13068977-9
148;34;18-10-2017 7:34;27-10-2017 17:02;14200344-9
149;34;22-01-2011 3:12;05-02-2011 3:51;83905334-7
150;34;27-03-2016 17:36;06-04-2016 6:42;83905334-7
151;34;31-01-2019 13:45;09-02-2019 14:55;14200344-9
152;35;28-06-2018 5:22;07-07-2018 6:24;31111145-0
153;35;02-01-2010 16:58;17-01-2010 3:55;23748548-3
154;36;26-06-2020 4:30;08-07-2020 9:40;48979148-k
155;36;08-05-2013 6:07;12-05-2013 19:55;70876733-6
156;36;26-08-2014 16:27;02-09-2014 0:26;29742884-5
157;37;20-03-2013 1:16;23-03-2013 7:29;78897889-8
158;37;20-07-2016 14:03;01-08-2016 21:02;41694611-6
159;37;22-06-2017 16:13;05-07-2017 1:16;22479749-4
160;37;02-07-2019 20:22;08-07-2019 7:44;34349789-k
161;37;25-03-2019 8:30;03-04-2019 16:09;34349789-k
162;37;01-12-2014 8:53;11-12-2014 17:35;41694611-6
163;38;10-03-2011 6:01;15-03-2011 12:18;73222374-6
164;38;05-09-2015 23:39;13-09-2015 4:49;37797879-k
165;38;18-06-2014 11:05;21-06-2014 13:00;88772168-8
166;39;22-05-2016 2:38;30-05-2016 6:35;58303600-8
167;39;20-09-2016 13:13;02-10-2016 21:46;58303600-8
168;39;12-11-2015 9:54;21-11-2015 18:51;58303600-8
169;40;07-09-2016 17:10;21-09-2016 5:11;23494123-2
170;40;05-05-2012 9:45;18-05-2012 18:02;77210598-3
171;40;07-03-2018 3:04;20-03-2018 9:06;23494123-2
172;40;03-08-2010 11:34;13-08-2010 21:56;22001298-0
173;40;07-05-2012 14:22;17-05-2012 1:33;22001298-0
174;40;22-11-2019 0:56;27-11-2019 10:56;77210598-3
175;41;27-08-2014 20:53;11-09-2014 11:39;87649058-7
176;41;19-02-2010 23:24;01-03-2010 10:57;38470405-0
177;41;19-11-2015 21:54;26-11-2015 11:47;87649058-7
178;41;02-12-2014 6:08;06-12-2014 8:40;29950437-9
179;41;22-05-2012 4:16;01-06-2012 19:14;23686910-5
180;42;09-03-2020 13:13;19-03-2020 19:28;69020528-9
181;42;10-07-2020 14:51;13-07-2020 18:04;69020528-9
182;42;26-05-2019 22:50;06-06-2019 4:08;96251410-3
183;43;04-01-2015 23:17;12-01-2015 9:31;79543386-4
184;44;29-04-2019 16:34;13-05-2019 21:39;12412672-k
185;45;04-03-2017 6:04;15-03-2017 12:12;68505645-3
186;45;20-10-2017 1:16;30-10-2017 11:16;22274441-5
187;45;06-08-2015 19:49;14-08-2015 5:06;22274441-5
188;45;22-01-2020 13:04;29-01-2020 19:25;75981648-k
189;45;20-01-2018 23:12;26-01-2018 12:55;68505645-3
190;46;11-01-2020 4:41;17-01-2020 15:41;67629255-1
191;46;10-02-2013 4:58;23-02-2013 16:07;67629255-1
192;46;28-08-2011 7:26;31-08-2011 21:51;91888493-9
193;47;09-01-2012 4:34;19-01-2012 6:03;27183294-k
194;47;14-03-2019 17:41;28-03-2019 4:08;90594532-7
195;47;16-05-2012 21:59;31-05-2012 3:13;27183294-k
196;48;22-03-2013 14:03;30-03-2013 0:31;11554909-k
197;48;10-11-2011 7:24;20-11-2011 11:38;11554909-k
198;48;01-10-2016 12:18;04-10-2016 22:21;14377401-5
199;48;09-01-2013 5:13;19-01-2013 5:58;51630030-2
200;48;28-06-2017 9:27;06-07-2017 20:27;11554909-k
201;48;24-01-2011 23:18;02-02-2011 5:16;37285914-8
202;49;21-05-2017 16:47;03-06-2017 23:40;14408869-7
203;50;22-03-2013 6:37;25-03-2013 9:56;46531952-6
204;50;20-07-2010 19:56;24-07-2010 8:31;62550748-0
205;51;16-12-2018 20:11;31-12-2018 11:26;66970190-k
206;51;22-07-2017 14:35;01-08-2017 2:57;44626695-0
207;52;16-04-2014 21:15;21-04-2014 7:01;61993529-2
208;52;25-02-2011 8:10;01-03-2011 0:16;61993529-2
209;52;17-12-2014 3:57;20-12-2014 7:20;79263691-8
210;52;23-08-2016 16:36;31-08-2016 2:19;71881591-6
211;52;21-02-2018 4:18;24-02-2018 15:33;45026478-4
212;52;07-01-2013 9:45;21-01-2013 2:05;79263691-8
213;53;27-07-2016 3:43;02-08-2016 11:47;53747213-8
214;53;10-10-2015 23:17;17-10-2015 5:11;66045545-0
215;53;24-11-2015 3:05;02-12-2015 19:17;53747213-8
216;54;23-08-2011 6:30;05-09-2011 11:11;79348268-k
217;54;10-03-2010 10:03;24-03-2010 0:51;79348268-k
218;54;08-08-2010 22:59;14-08-2010 7:18;48925896-k
219;54;02-12-2017 21:53;07-12-2017 5:39;79348268-k
220;54;15-05-2014 13:09;24-05-2014 3:19;79348268-k
221;55;18-08-2018 0:24;27-08-2018 1:52;91957885-8
222;55;24-01-2019 11:30;02-02-2019 22:29;96900689-8
223;55;09-01-2014 21:34;13-01-2014 11:28;96900689-8
224;55;07-07-2012 2:13;16-07-2012 16:02;96900689-8
225;56;30-03-2015 3:10;03-04-2015 17:41;63968995-6
226;56;06-03-2010 13:03;21-03-2010 2:39;77941465-5
227;56;01-08-2013 17:14;04-08-2013 17:23;43926456-k
228;57;09-11-2018 15:49;20-11-2018 6:51;57792927-0
229;57;25-03-2011 11:46;01-04-2011 19:47;76081261-7
230;57;14-03-2017 21:47;25-03-2017 23:46;91231636-k
231;57;15-06-2017 2:32;27-06-2017 4:33;12673702-5
232;57;01-05-2013 6:39;12-05-2013 18:49;76081261-7
233;57;14-05-2015 21:50;26-05-2015 2:03;36432728-5
234;58;18-10-2016 3:14;31-10-2016 15:43;63421928-5
235;58;18-12-2015 18:24;25-12-2015 7:50;63421928-5
236;59;05-04-2012 6:58;11-04-2012 16:15;16792411-5
237;59;17-12-2019 23:16;21-12-2019 3:58;75910499-4
238;59;30-07-2019 10:13;09-08-2019 12:49;75910499-4
239;60;26-03-2019 16:24;07-04-2019 21:01;54121962-5
240;60;07-08-2018 3:42;19-08-2018 5:30;10254486-2
241;60;28-09-2013 17:35;08-10-2013 19:05;54121962-5
242;61;24-06-2017 8:34;08-07-2017 15:56;93900888-8
243;61;30-08-2015 3:43;05-09-2015 15:01;62014673-0
244;62;16-11-2015 3:58;24-11-2015 9:13;45400053-6
245;62;27-11-2010 16:40;08-12-2010 0:53;76849115-1
246;62;31-01-2011 20:22;09-02-2011 1:58;36600416-5
247;62;24-12-2018 4:58;02-01-2019 9:59;31457093-6
248;63;13-06-2012 3:05;26-06-2012 6:44;86083776-5
249;64;27-09-2010 7:42;05-10-2010 14:24;48007583-8
250;64;14-11-2019 8:14;23-11-2019 0:10;48176712-1
251;65;18-08-2016 11:01;27-08-2016 3:40;71134226-5
252;65;31-01-2014 10:05;13-02-2014 13:26;30928102-0
253;65;20-08-2017 15:35;31-08-2017 19:26;65809271-5
254;65;30-09-2017 11:55;08-10-2017 4:23;30928102-0
255;66;26-08-2013 20:16;30-08-2013 6:06;95932617-7
256;66;12-03-2015 4:40;25-03-2015 12:30;43953571-7
257;66;14-02-2010 16:54;24-02-2010 19:38;95932617-7
258;66;13-07-2011 22:37;25-07-2011 14:13;43953571-7
259;67;12-08-2014 2:56;24-08-2014 5:57;53721649-2
260;67;18-06-2012 12:14;27-06-2012 16:30;59137080-4
261;67;18-04-2011 6:24;22-04-2011 21:04;58038177-4
262;67;30-06-2010 7:15;06-07-2010 18:46;11636170-1
263;67;21-03-2013 6:11;03-04-2013 17:17;48292072-1
264;67;05-08-2017 14:04;15-08-2017 18:04;63814706-8
265;67;05-09-2016 8:28;09-09-2016 20:47;57133149-7
266;67;27-12-2013 22:58;09-01-2014 14:47;53721649-2
267;68;04-12-2011 4:03;08-12-2011 16:51;99294258-4
268;68;24-06-2018 10:25;29-06-2018 11:04;49166815-6
269;69;01-12-2017 1:18;13-12-2017 3:28;95367461-0
270;69;15-03-2012 10:26;26-03-2012 12:55;10119008-0
271;70;15-11-2013 4:59;20-11-2013 20:29;58765828-3
272;70;04-02-2013 9:31;16-02-2013 12:50;25399600-5
273;71;14-07-2015 0:07;18-07-2015 9:49;81698647-8
274;71;09-02-2011 1:43;14-02-2011 10:24;81698647-8
275;71;08-05-2014 5:39;17-05-2014 16:20;15119459-1
276;72;17-06-2011 19:01;27-06-2011 21:00;46012714-9
277;72;11-01-2012 8:30;16-01-2012 19:12;22637365-9
278;72;08-09-2018 7:07;20-09-2018 7:29;64370666-0
279;72;22-12-2013 16:53;25-12-2013 23:55;58000701-5
280;72;11-11-2013 23:18;18-11-2013 1:03;64370666-0
281;73;24-02-2017 22:26;05-03-2017 9:11;29903675-8
282;73;05-02-2017 8:57;12-02-2017 17:09;33090056-3
283;74;02-03-2016 1:03;13-03-2016 11:41;80282829-2
284;74;11-09-2012 15:16;17-09-2012 22:16;47121914-2
285;74;22-08-2015 3:32;26-08-2015 11:16;42300579-3
286;74;26-07-2020 18:17;02-08-2020 10:14;49798131-k
287;74;21-09-2015 21:57;30-09-2015 11:23;47121914-2
288;74;17-12-2010 22:42;23-12-2010 2:01;42300579-3
289;74;20-05-2010 12:24;04-06-2010 1:52;72309503-4
290;75;11-01-2019 9:58;25-01-2019 13:53;34823992-9
291;75;02-01-2017 17:56;11-01-2017 4:17;79850677-3
292;75;24-04-2020 23:49;01-05-2020 15:01;59495529-3
293;76;20-10-2018 12:38;01-11-2018 17:42;73418283-4
294;76;09-06-2018 14:00;15-06-2018 5:25;32700742-4
295;76;18-04-2010 3:22;28-04-2010 12:43;10537138-1
296;76;30-01-2011 21:28;07-02-2011 8:20;10537138-1
297;77;04-04-2019 4:52;07-04-2019 7:38;78734770-3
298;77;24-03-2013 1:22;04-04-2013 10:41;59444986-k
299;77;28-05-2011 3:31;06-06-2011 19:07;81600879-4
300;77;15-03-2014 1:31;26-03-2014 15:07;75357089-6
301;77;18-05-2013 8:16;24-05-2013 21:30;59444986-k
302;77;09-11-2017 13:21;24-11-2017 4:06;57639262-1
303;78;03-03-2019 4:14;11-03-2019 12:17;56725663-4
304;78;01-02-2019 22:33;09-02-2019 8:10;27161682-1
305;78;27-06-2013 20:19;04-07-2013 6:37;12815044-7
306;79;05-07-2014 14:21;13-07-2014 1:14;92244003-4
307;79;06-12-2014 18:52;19-12-2014 3:00;92244003-4
308;79;19-11-2018 3:26;25-11-2018 18:26;92244003-4
309;79;30-08-2017 5:01;11-09-2017 16:43;92244003-4
310;79;28-04-2016 10:18;04-05-2016 1:56;77477421-1
311;79;19-10-2018 5:32;22-10-2018 9:23;77477421-1
312;80;16-01-2012 20:13;26-01-2012 12:15;85301240-8
313;80;13-01-2020 23:13;20-01-2020 12:32;50319391-4
314;80;14-11-2014 18:40;25-11-2014 6:28;85301240-8
315;80;18-07-2012 4:30;23-07-2012 12:54;43630930-9
316;80;11-01-2017 4:42;17-01-2017 19:36;85301240-8
317;80;12-08-2013 9:55;21-08-2013 16:39;92170041-5
318;80;25-01-2011 6:21;05-02-2011 14:30;97343582-5
319;80;05-05-2016 20:33;14-05-2016 9:11;92170041-5
320;81;18-12-2014 11:53;28-12-2014 22:25;87634133-6
321;81;19-09-2015 7:35;26-09-2015 20:24;48246125-5
322;81;12-01-2020 3:13;26-01-2020 7:30;90739234-1
323;81;11-05-2016 15:26;26-05-2016 3:03;79480331-5
324;82;15-05-2013 7:21;25-05-2013 8:59;86043030-4
325;82;11-05-2017 23:58;15-05-2017 15:16;83290634-4
326;82;24-12-2018 8:35;03-01-2019 15:19;33006349-1
327;82;18-09-2010 20:13;24-09-2010 9:19;64268937-1
328;82;06-02-2012 10:45;20-02-2012 13:18;99466469-7
329;82;24-05-2020 5:47;01-06-2020 16:57;21630671-6
330;83;04-11-2013 8:52;18-11-2013 18:00;49995619-3
331;83;03-07-2018 21:43;16-07-2018 9:35;47922722-5
332;84;28-05-2014 11:46;11-06-2014 12:53;35155157-7
333;84;05-06-2018 6:22;09-06-2018 20:41;55422937-9
334;84;19-05-2011 4:05;02-06-2011 19:32;72429091-4
335;84;30-11-2018 21:24;06-12-2018 5:07;15623590-3
336;85;19-08-2020 10:57;29-08-2020 20:12;15451762-6
337;85;08-06-2015 19:43;22-06-2015 7:44;12460058-8
338;85;14-03-2018 16:07;22-03-2018 7:23;33874298-3
339;86;07-12-2014 13:26;14-12-2014 19:21;63795324-9
340;86;19-12-2018 8:05;31-12-2018 23:43;84921010-6
341;86;07-09-2011 21:23;15-09-2011 23:22;42113348-4
342;86;19-05-2011 1:24;02-06-2011 2:27;34414978-k
343;86;01-05-2018 7:58;07-05-2018 21:23;34414978-k
344;87;03-03-2014 0:02;06-03-2014 1:50;78156640-3
345;87;11-01-2019 20:23;15-01-2019 11:57;80640357-1
346;87;13-11-2019 21:46;26-11-2019 22:15;64063874-5
347;87;05-01-2017 16:49;16-01-2017 2:10;74357811-2
348;88;11-12-2013 0:19;24-12-2013 2:38;73324033-4
349;88;24-05-2020 0:38;30-05-2020 6:17;77366538-9
350;88;31-08-2018 21:45;12-09-2018 10:37;17286061-3
351;88;29-06-2017 15:56;05-07-2017 16:01;54480341-7
352;88;31-07-2013 10:44;09-08-2013 10:51;73324033-4
353;89;03-08-2017 21:00;18-08-2017 3:56;20694588-5
354;89;31-05-2019 12:59;11-06-2019 5:11;20694588-5
355;89;06-11-2016 21:16;17-11-2016 1:59;16008678-5
356;89;14-01-2020 22:17;23-01-2020 3:18;58366562-5
357;90;10-05-2010 13:07;18-05-2010 16:55;24878659-0
358;90;04-02-2018 1:39;17-02-2018 3:32;32628385-1
359;90;06-05-2015 8:49;19-05-2015 19:26;95656123-k
360;91;29-08-2019 0:03;10-09-2019 15:26;74415365-4
361;91;13-04-2014 12:56;26-04-2014 16:13;74415365-4
362;91;27-12-2010 21:18;10-01-2011 8:49;74415365-4
363;92;29-06-2015 0:09;04-07-2015 6:23;12033288-0
364;92;15-03-2020 15:18;19-03-2020 17:13;30224213-5
365;92;12-10-2013 16:42;22-10-2013 9:03;13965853-1
366;93;08-01-2010 22:42;19-01-2010 23:15;82833215-5
367;93;08-12-2011 3:42;15-12-2011 4:53;44372095-2
368;93;29-01-2020 22:15;04-02-2020 8:18;82833215-5
369;93;26-03-2020 6:18;04-04-2020 10:38;82833215-5
370;93;24-03-2019 11:35;05-04-2019 20:01;93044599-1
371;93;09-04-2011 2:06;19-04-2011 8:33;14982281-k
372;93;11-11-2013 21:37;16-11-2013 4:10;82833215-5
373;93;31-07-2012 2:21;07-08-2012 6:21;44372095-2
374;94;06-06-2012 10:19;20-06-2012 21:47;44290962-8
375;94;24-09-2010 11:39;07-10-2010 13:08;41361801-0
376;94;02-03-2016 21:58;09-03-2016 8:22;44290962-8
377;95;29-08-2014 4:47;01-09-2014 8:00;49036882-5
378;95;14-11-2011 7:08;23-11-2011 14:35;38235761-2
379;96;25-08-2013 20:10;29-08-2013 9:48;94688326-3
380;96;04-06-2015 0:06;09-06-2015 10:29;49891081-5
381;96;01-02-2018 9:05;08-02-2018 21:19;95623149-3
382;96;13-01-2012 12:47;21-01-2012 15:11;44770429-3
383;97;25-10-2014 2:02;04-11-2014 5:53;77020926-9
384;97;05-04-2011 9:50;19-04-2011 11:36;60926655-4
385;97;24-01-2010 16:04;04-02-2010 20:07;87544765-3
386;97;18-07-2018 14:15;25-07-2018 19:43;87544765-3
387;97;18-10-2014 7:08;24-10-2014 10:27;77020926-9
388;98;24-04-2016 22:12;01-05-2016 9:08;99837067-1
389;98;01-09-2019 15:59;05-09-2019 4:16;16670974-1
390;98;25-04-2012 16:55;05-05-2012 19:29;99837067-1
391;98;21-04-2020 17:54;29-04-2020 23:44;35661237-k
392;99;16-01-2018 3:47;19-01-2018 10:00;17195049-k
393;99;22-10-2017 6:03;03-11-2017 8:41;48161908-4
394;100;29-09-2011 12:20;13-10-2011 15:23;34996262-4
395;100;15-06-2017 4:15;20-06-2017 10:32;92394961-5
396;100;09-01-2012 17:12;13-01-2012 1:32;56474633-9
397;100;14-05-2018 11:37;23-05-2018 22:17;73540572-1
398;100;31-03-2020 15:08;10-04-2020 6:33;34996262-4
399;100;10-07-2020 12:44;21-07-2020 2:08;92394961-5
400;100;31-05-2018 6:13;04-06-2018 18:42;34996262-4
401;101;06-02-2017 4:26;17-02-2017 16:17;89146700-1
402;101;08-05-2018 14:35;18-05-2018 16:58;62887150-7
403;101;16-10-2011 17:57;24-10-2011 7:56;80885102-4
404;101;02-12-2018 18:10;07-12-2018 4:25;36615636-4
405;101;12-01-2014 17:51;19-01-2014 4:04;31706054-8
406;101;23-05-2011 20:15;30-05-2011 1:42;31706054-8
407;101;05-01-2016 22:13;16-01-2016 3:52;89146700-1
408;101;07-04-2015 9:18;11-04-2015 20:49;35414863-3
409;102;16-04-2010 1:14;28-04-2010 2:11;34643031-1
410;102;04-09-2018 15:29;15-09-2018 3:54;88107942-9
411;102;20-01-2014 3:46;02-02-2014 7:56;34643031-1
412;102;19-03-2016 23:56;26-03-2016 6:19;60916764-5
413;103;23-01-2012 0:43;31-01-2012 6:54;44715611-3
414;103;26-09-2010 8:35;09-10-2010 23:48;95667888-9
415;103;19-03-2013 15:08;24-03-2013 17:26;73026642-1
416;103;22-11-2013 19:56;30-11-2013 11:52;76396643-7
417;103;21-07-2017 14:29;03-08-2017 23:28;73026642-1
418;103;12-01-2012 4:16;20-01-2012 17:35;73026642-1
419;103;20-07-2018 5:45;01-08-2018 8:12;11784418-8
420;103;09-12-2010 2:06;20-12-2010 8:03;11784418-8
421;103;01-08-2015 11:28;13-08-2015 19:08;95667888-9
422;104;01-03-2019 23:38;11-03-2019 4:01;22150901-3
423;104;20-10-2017 17:10;24-10-2017 4:01;22150901-3
424;105;02-11-2013 21:45;07-11-2013 11:52;95514882-7
425;105;27-02-2016 1:59;05-03-2016 11:54;67753422-2
426;105;17-09-2017 3:49;26-09-2017 13:24;91059844-9
427;105;04-10-2013 2:37;18-10-2013 11:24;95514882-7
428;105;14-02-2017 3:42;21-02-2017 11:15;63382431-2
429;105;20-01-2011 14:29;26-01-2011 15:13;63382431-2
430;106;10-10-2019 16:51;14-10-2019 7:18;53211068-8
431;106;20-07-2011 7:56;23-07-2011 13:08;77520112-6
432;107;14-07-2014 2:03;18-07-2014 11:33;38317707-3
433;107;11-10-2013 13:10;23-10-2013 13:49;85682952-9
434;107;25-12-2016 7:48;30-12-2016 8:52;92311983-3
435;107;27-11-2014 2:52;09-12-2014 14:50;38317707-3
